dataset,model,method,attack_type,malicious_ratio,non_iid_alpha,round,test_accuracy,test_loss,macro_f1,detected_malicious,false_positive,true_positive_rate,false_positive_rate,crypto_time_ms,aggregation_time_ms,communication_bytes,total_round_time_ms,seed,sketch_dim,public_validation_samples,protocol_online_bytes,protocol_offline_bytes,secure_multiplications
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,18,0.594,1.5698653869628907,0.5502028405706146,1,1,0.5,0.125,0.0,9.45659999996451,16938560,671.2317000000212,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,19,0.528,1.4785000915527344,0.46174218340595774,1,1,0.5,0.125,0.0,10.451700000032815,16938560,681.8271000000209,2141,32,600,0,0,0
mnist,tiny_cnn,fedgt_proxy,label_flip,0.2,0.5,20,0.632,1.3356822814941407,0.5889046691275805,1,1,0.5,0.125,0.0,9.598700000026383,16938560,680.244499999958,2141,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,1,0.118,2.2935345458984373,0.035034726219254825,0,0,0.0,0.0,0.0,0.3322000000025582,4234640,418.7814000000003,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,2,0.161,2.2880687866210936,0.08621955453352406,0,0,0.0,0.0,0.0,0.2523999999652915,4234640,396.2180999999987,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,3,0.264,2.2785667724609375,0.1891597457091853,0,0,0.0,0.0,0.0,0.262200000008761,4234640,401.76689999998416,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,4,0.257,2.25060888671875,0.17823116549096757,0,0,0.0,0.0,0.0,0.2928000000110842,4234640,433.5570000000075,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,5,0.213,2.2411637573242187,0.13855157237804178,0,0,0.0,0.0,0.0,0.3025000000320688,4234640,405.7864999999765,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,6,0.244,2.16967578125,0.1769153384665758,0,0,0.0,0.0,0.0,0.3061999999545151,4234640,406.8398000000002,2142,32,600,0,0,0
mnist,tiny_cnn,fedavg,label_flip,0.2,0.5,7,0.273,2.095696746826172,0.1761914901033818,0,0,0.0,0.0,0.0,0.30080000004772955,4234640,400.84730000000945,2142,32,600,0,0,0
